ts_code,name,industry,float_date,ratio,share_wan,amount_yi,src
301697.SZ,贝特利,化工原料,20270901,31.83,8361.4,20.59,已公告
301688.SZ,格林生物,化工原料,20270902,52.3,6973.7,24.74,已公告
001277.SZ,速达股份,专用机械,20270903,39.74,3020.4,8.86,推导36mo
688710.SH,益诺思,生物制药,20270903,34.42,4852.3,40.26,推导36mo
920071.BJ,金钛股份,小金属,20270903,81.83,20868.0,55.4,已公告
301607.SZ,富特科技,汽车配件,20270904,35.17,8233.7,34.19,推导36mo
920187.BJ,通领科技,汽车配件,20270906,29.74,2690.8,4.56,已公告
920289.BJ,华汇智能,专用机械,20270906,76.26,5185.6,13.77,已公告
920269.BJ,杰锋动力,汽车配件,20270907,85.17,5110.1,18.45,已公告
301699.SZ,C洛轴股份,机械基件,20270909,49.62,35927.9,93.56,已公告
920268.BJ,百迈科,医疗保健,20270909,62.88,3408.3,14.14,已公告
301600.SZ,慧翰股份,通信设备,20270911,69.14,7226.5,54.05,推导36mo
688801.SH,燧原科技,半导体,20270911,95.84,41245.1,1637.43,推导12mo
920016.BJ,中草香料,日用化工,20270913,55.53,4274.5,5.66,推导36mo
920022.BJ,世昌股份,汽车配件,20270920,53.99,3256.6,6.14,已公告
603091.SH,众鑫股份,家居用品,20270920,69.25,9911.6,47.61,推导36mo
920099.BJ,瑞华技术,石油加工,20270925,37.36,3514.7,5.95,推导36mo
688615.SH,合合信息,软件服务,20270926,30.95,6066.2,52.65,推导36mo
301551.SZ,无线传媒,影视音像,20270926,61.36,24545.6,52.55,推导36mo
301618.SZ,长联科技,染料涂料,20270930,61.88,7815.1,23.25,推导36mo
001279.SZ,强邦新材,广告包装,20271011,75.0,12000.0,29.9,推导36mo
920019.BJ,铜冠矿建,建筑工程,20271011,20.32,4273.1,6.93,推导36mo
