ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
000056.SZ,20260424,,,,,0.0,0.0,0,False,未实施,20260423,1,-0.025252525252525304,0.051813471502590636,0.053591030684426055,-0.07253886010362687,-0.08745867903858362,-0.24352331606217614,-0.2436113681416423,-0.010362694300518172,0.05703435143640867,
000056.SZ,20260424,,,,,0.0,0.0,0,False,未实施,20260423,1,-0.025252525252525304,0.051813471502590636,0.053591030684426055,-0.07253886010362687,-0.08745867903858362,-0.24352331606217614,-0.2436113681416423,-0.010362694300518172,0.05703435143640867,
000058.SZ,20220212,0.0,,20220415,20220415,445.5577,1e-08,1,False,完成,20220211,1,-0.016260162601626216,0.013223140495867813,0.023289469944612895,0.024793388429752206,0.016629289122075175,-0.03140495867768578,0.013429264631496185,-0.1520661157024793,-0.04796368040401522,
000063.SZ,20251212,12.0,20261212,20260527,20260720,9183.5858,31.9890515002,4,False,完成,20251212,0,-0.0018508725542040194,-0.024105960264900528,-0.01870038575521593,-0.019072847682119254,-0.019350652622662445,0.06701986754966893,0.0027183595440214425,-0.039735099337748436,-0.08077368885500646,
000066.SZ,20231205,3.0,20241130,20240201,20240731,1392.6538,1.219043735,4,False,完成,20231205,0,-0.02443280977312401,-0.0026833631484793896,-0.0015538406097072022,0.02415026833631484,0.013531108771397848,-0.11449016100178888,-0.11298348723219176,-0.07871198568872972,-0.0954814653556072,
000066.SZ,20241228,2.56,20250627,20241231,20250307,2863.8304,4.161653998799999,4,False,完成,20241227,1,-0.012836970474968012,-0.011703511053315907,-0.013787204646272144,-0.14434330299089726,-0.0927894263366974,-0.1547464239271782,-0.11586120539031552,-0.08582574772431717,-0.07170896921933945,
000070.SZ,20220427,2.0,20230512,20220520,20220729,12438.3366,7.4068536407,7,False,完成,20220427,0,0.08196721311475419,-0.01948051948051943,-0.025149404268464126,0.0974025974025976,0.08065049500486188,0.27056277056277067,0.1935886069220496,0.3917748917748918,0.25624516020684296,
000078.SZ,20210427,1.46,,20240820,20240820,11971.0,2.8486979999999997,3,False,完成,20210427,0,-0.002941176470588114,0.0,-0.004181924898619904,-0.03244837758112107,-0.025730735401387927,0.0,-0.04392745647309504,-0.0766961651917406,-0.08330779902161267,
000100.SZ,20210621,7.0,20220620,,,0.0,0.0,0,False,未实施,20210621,0,-0.007894736842105177,0.027851458885941538,0.019695071609608483,0.03580901856763896,0.013638904285028675,0.09416445623342162,0.09109141050569836,-0.05437665782493384,-0.1017649979900831,
000100.SZ,20210621,0.0,,20210625,20210910,15186.7417,11.789069355,4,False,完成,20210621,0,-0.007894736842105177,0.027851458885941538,0.019695071609608483,0.03580901856763896,0.013638904285028675,0.09416445623342162,0.09109141050569836,-0.05437665782493384,-0.1017649979900831,
000100.SZ,20220321,5.5,20230318,20220323,20220624,24124.022,11.640718205999999,5,False,完成,20220321,0,0.02254098360655754,-0.002004008016032066,-0.003894831319219083,-0.008016032064128376,0.004075700761490664,-0.06212424849699427,-0.03157578752259527,-0.07311228933583247,-0.0879776435485804,
000100.SZ,20230601,2.5,20240531,20230628,20230628,6499.2964,2.47,1,False,完成,20230601,0,-0.015544041450777146,0.015789473684210575,0.007790977598823412,0.015789473684210575,0.012960131947715059,0.047368421052631504,0.034666721018438595,0.0,0.03420801595850409,
000100.SZ,20231129,6.0,20241128,20240604,20240607,17526.37,7.7,2,False,完成,20231129,0,-0.004773269689737569,0.0023980815347721673,-0.00024393633088048983,-0.011990407673860837,0.005565209448966213,-0.00959232613908867,0.02679208784670717,0.15827338129496393,0.15623273698928108,
000100.SZ,20250416,8.0,20260415,20250718,20250725,23024.6385,10.5,2,False,完成,20250416,0,0.0024875621890547706,0.00992555831265518,0.008590224621126463,0.0,-0.0061738795624938225,0.06947890818858538,0.040395196861686244,0.11662531017369715,0.043671932489033116,
