ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,days,ret,ex
000561.SZ,20240430,0.1,20250513,20240521,20250506,390.57,0.27366864,6,False,完成,231,0.040221041128551516,-0.009387836603827027
000568.SZ,20240605,0.01,,20240814,20240814,2.1266,0.0181273511,2,False,完成,0,0.0,
000573.SZ,20200512,,,20200811,20200811,1045.0,0.0,2,False,完成,0,0.0,
000576.SZ,20200908,1.25,20210907,20201030,20201230,1389.9574,1.4938301019,3,False,完成,43,-0.019830028328611693,
000576.SZ,20221231,0.01,,20230504,20230504,22.959,0.012007557,2,False,完成,0,0.0,
000576.SZ,20240522,0.09,,20240531,20250227,1861.1058,1.1362950634,6,False,完成,179,0.12517580872011247,0.025131050933208998
000581.SZ,20200215,6.0,20210213,20200227,20200731,4841.7258,9.7656659686,5,False,完成,105,0.1559252036709191,
000581.SZ,20220419,7.25,20230415,20220510,20221130,9174.1,17.724955619,9,False,完成,139,-0.023127239464169613,-0.05892797119662585
000581.SZ,20221209,0.05,,20221221,20230228,9100.0,17.113978381499997,5,False,完成,43,0.24943820224719082,0.16897887037699433
000581.SZ,20250418,1.5,20260509,20250528,20250703,791.26,1.53903475,3,False,完成,25,0.00733072053674122,-0.027948680600420217
000589.SZ,20221117,1.2,20231116,20221130,20230116,2458.98,1.2083190320000001,3,False,完成,32,0.03157894736842115,0.0072064729561658325
000589.SZ,20230202,0.01,,20230131,20230411,6381.393999999999,3.1847467958999998,4,False,完成,49,-0.023391812865497075,-0.04045705521532206
000589.SZ,20240131,0.01,,20240131,20240930,2684.6440000000002,1.46661477,7,False,完成,159,0.05055445941706749,-0.12197691303178104
000591.SZ,20250424,2.0,20260515,20250814,20260430,3949.83,1.84722553,4,False,完成,170,0.13630051196207904,0.013136967592567661
000592.SZ,20240701,1.6,20250627,20240701,20241130,16880.579999999998,2.4653478499999997,7,False,完成,102,0.8776978417266186,0.690447469618582
000593.SZ,20240327,0.25,20250325,20240408,20240430,392.58000000000004,0.20998184,2,False,完成,16,-0.04770318021201414,-0.0654226991874377
000595.SZ,20200104,0.21,,20210303,20210303,984.2,0.21357140000000002,2,False,完成,0,0.0,
000597.SZ,20210317,0.02,,20210617,20210617,282.9211,0.0735694,2,False,完成,0,0.0,
000597.SZ,20250306,0.0,,20250614,20260609,217.5,0.0038817529,3,False,完成,239,-0.16359698757847663,-0.29563391438987363
000601.SZ,20241029,1.95,20251113,20241126,20250408,14653.528000000002,6.389161419800001,9,False,完成,87,0.3404083833142397,0.3890757192278298
000603.SZ,20240106,1.0,20250105,20240125,20240630,2134.33,1.9249942569999998,6,False,完成,99,0.23874345549738218,0.21315620956110348
000623.SZ,20200326,6.0,20210410,20200521,20210228,11141.6881,18.3761103334,8,False,完成,187,0.03872037807462947,
000623.SZ,20220430,3.0,20230429,20220505,20221231,5120.3684,7.2877230237,8,False,完成,164,0.07888729115690318,0.07137894630487884
000623.SZ,20230921,1.5,20240320,20230925,20231117,1914.542,3.2205238348,4,False,完成,33,-0.041617819460726735,-0.02240176357359913
000623.SZ,20241109,6.0,20250208,20241119,20250208,8529.58,15.5505543111,6,False,完成,51,-0.11274252753015201,-0.10137052025548177
