ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60
000576.SZ,20220521,0.0,,,,0.0,0.0,0,False,未实施,20220520,1,-0.0017953321364452268,-0.006294964028776828,-0.006386539347565945,-0.07374100719424459,-0.06890947123931623,0.03597122302158273,-0.016793303595798892,0.2580935251798562,0.20835495109643376
000597.SZ,20210317,0.06,,,,0.0,0.0,0,False,未实施,20210317,0,0.02386117136659416,0.004237288135593431,-0.0008424345021821322,-0.012711864406779627,0.010303029340351877,0.021186440677966267,0.035175875093910625,0.008456445524624323,-0.012403951998530949
000597.SZ,20231114,,,,,0.0,0.0,0,False,未实施,20231114,0,0.0,0.0,-0.005455711449245726,0.014598540145985162,0.010675483166874722,0.031021897810219023,0.049089613424804446,-0.22992700729927018,-0.16832142587180854
000597.SZ,20240726,,,,,0.0,0.0,0,False,未实施,20240726,0,0.0237467018469657,-0.0077319587628864594,-0.008057242450465574,0.054123711340206215,0.04888447245092231,0.0670103092783505,0.08066575945982746,0.2706185567010311,0.11770324092448292
000597.SZ,20260613,,,,,0.0,0.0,0,False,未实施,20260612,1,0.022321428571428603,0.0065502183406114245,-0.009410906039460376,-0.03930131004366799,-0.06966625405583249,0.020337807289796173,0.05102747677739994,0.062299751745437115,0.08851952881207392
000598.SZ,20260630,0.0,,,,0.0,0.0,0,False,未实施,20260630,0,-0.006191950464396134,0.015576323987538832,0.011119310771348534,0.03582554517133962,0.0628649422849843,0.15259147804953876,0.21677271658350916,,
000625.SZ,20260303,14.0,20270319,,,0.0,0.0,0,False,未实施,20260303,0,0.009191176470588092,-0.013661202185792476,-0.003948270186782343,-0.015482695810564606,-0.015593011544487556,-0.08925318761384338,-0.03523930893696958,-0.26502732240437155,-0.2532655570393284
000629.SZ,20250422,2.0,20260421,,,0.0,0.0,0,False,未实施,20250422,0,0.003731343283582156,0.0,0.0010320186368264483,-0.04460966542750944,-0.040800987138365996,-0.05204460966542768,-0.0658078582674152,0.029739776951672958,-0.0454802123931598
000635.SZ,20230206,0.01,,,,0.0,0.0,0,False,未实施,20230206,0,0.013742071881606588,-0.004171011470281427,-0.00705178042032506,0.0010427528675702735,-0.012814521784355382,0.14077163712200202,0.11215707001243591,-0.07194994786235653,-0.09861414356944875
000661.SZ,20221214,0.01,,,,0.0,0.0,0,False,未实施,20221214,0,-0.003724394785847296,-0.02350608892664985,-0.02107845061844782,-0.05329934862645169,-0.01994254985942856,0.11243273860096292,0.11703037297472996,0.04672897196261672,0.030391437332080606
000661.SZ,20230330,0.06,,,,0.0,0.0,0,False,未实施,20230330,0,-0.003089224059603879,-0.007777372706282648,-0.011297654899010134,0.031413294446469786,0.01083329255683907,-0.004058895998031664,-0.02264729146524236,-0.16673763135799968,-0.1513357969830348
000661.SZ,20231128,0.12,,,,0.0,0.0,0,False,未实施,20231128,0,0.06292616403662565,-0.008492179863147542,-0.002957569779711844,-0.06628787878787856,-0.04547351170062264,-0.13275904203323563,-0.09097303194706874,-0.21493157380254146,-0.20884319960664077
000663.SZ,20241031,0.0,,,,0.0,0.0,0,False,未实施,20241031,0,0.018675721561969505,-0.030000000000000138,-0.027684639021432256,0.08000000000000007,0.020615512163692173,-0.0033333333333332993,-0.008133829483117472,-0.15500000000000003,-0.14793423001178374
000663.SZ,20260604,0.0,,,,0.0,0.0,0,False,未实施,20260604,0,-0.020442930153321992,0.017391304347825987,0.0249805352413488,-0.02608695652173909,-0.008800759909522005,-0.06260869565217397,-0.059331268869875387,0.07652173913043492,0.11076117054225998
