ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,days,ret,ex
603918.SH,20200430,实施完成,,20210316,20210402,4.65,3.57,80.0,1、基于云架构的技术中心升级项目；2、智慧法治综合平台建设项目；3、智慧教育综合平台建设项目；4、补充流动资金。,13,0.04036326942482349,0.02911911668150169
002497.SZ,20200430,实施完成,,20201224,20210129,15.0,15.0,80.0,1、新增年产2万吨电池级氢氧化锂、1.1万吨氯化锂及其制品项目;2、补充流动资金。,25,0.13125748504674561,
300401.SZ,20191214,实施完成,,20200716,20200813,9.09,9.09,80.0,"1、年产1,200吨羊毛脂胆固醇及8,000吨精制羊毛脂项目;2、年产3,600吨饲料级VD3粉及540吨食品级VD3粉",20,0.05448504983388669,
300545.SZ,20200429,实施完成,,20210401,20210422,6.0,6.0,80.0,1、汽车电子显示智能装备建设项目；2、大尺寸TV模组智能装备建设项目；3、半导体封测智能装备建设项目；4、补充流动资金项,14,0.04904146232724038,0.049410113362215125
603936.SH,20200429,实施完成,,20201028,20201124,12.45,8.43,80.0,1、高精密多层刚挠结合印制电路板产业化项目；2、高端印制电路板生产技术改造项目；3、研发中心升级项目；4、补充流动资金及,19,-0.09643328929986805,
300166.SZ,20200429,实施完成,,20210422,20210609,18.0,8.0,80.0,1、工业互联网云化智能平台项目;2、5G+工业互联网融合接入与边缘计算平台项目;3、东方国信云项目;4、东方国信工业互联,31,0.10330138445154402,0.0645064817605494
300228.SZ,20200429,实施完成,,20210303,20210329,4.71,4.71,80.0,1、新型LNG智能罐箱及小型可移动液化装置产业化项目;2、常温及低温LNG船用装卸臂项目;3、LNG高压直喷供气系统项目,18,0.08703071672354934,0.13183996041525425
600141.SH,20200418,实施完成,,20201028,20201120,8.8,7.93,80.0,1、6万吨/年芯片用超高纯电子级化学品项目;2、3万吨/年电子级磷酸技术改造项目;3、归还银行贷款。,17,0.1237373737373737,
300648.SZ,20200428,实施完成,,20201229,20210125,4.0,4.0,80.0,1、新能源汽车电池智能制造装备及智能电站变流控制系统产业化项目;2、锂电池电芯化成分容设备及小动力电池包组装自动线设备生,18,0.05556408177042593,
002036.SZ,20200428,实施完成,,20201021,20201118,22.0,10.71,80.0,用于1、年产2.6亿颗高端手机镜头产业化项目;2、年产2400万颗智能汽车光学镜头及600万颗影像模组产业化项目;3、补,20,0.10818181818181816,
000498.SZ,20191224,实施完成,,20201026,20201124,10.0,10.0,80.0,募集配套资金用于1、兴山县古夫绕城、昭君绕城及S287百果园至水月寺公路改建工程PPP项目;2、高密市城建工程PPP项目,21,0.01949317738791434,
300133.SZ,20200427,实施完成,,20210412,20210507,22.0,7.27,80.0,1、影视剧制作项目；2、超高清制作及媒资管理平台建设项目；3、补充流动资金。,16,-0.05589123867069501,-0.05752779093892335
300232.SZ,20200425,实施完成,,20210323,20210426,8.84,8.83,80.0,1、洲明科技大亚湾LED显示屏智能化产线建设项目;2、信息化平台建设项目;3、补充流动资金。,23,-0.07093821510297493,-0.07894514849592305
002332.SZ,20200425,实施完成,,20201028,20201127,10.0,10.0,80.0,用于1、高端制剂国际化建设项目;2、偿还银行借款;3、补充流动资金。,22,-0.1188118811881188,
600800.SH,20181019,实施完成,,20201211,20201228,18.0,7.06,80.0,募集配套资金用于1、渤海石化丙烷脱氢装置技术改造项目;2、支付本次交易中介机构费用与税费。,11,-0.13117870722433445,
002079.SZ,20200424,实施完成,,20210518,20210615,3.01,3.01,80.0,募集配套资金用于1、支付本次交易的现金对价;2、标的公司一期项目年产太阳能电子浆料500吨;3、补充标的公司流动资金;4,19,0.13690476190476208,0.12809973803062902
300769.SZ,20200423,实施完成,,20201120,20201215,12.0,12.0,80.0,用于年产4万吨纳米磷酸铁锂项目、补充流动资金,17,0.1339674990091162,
603019.SH,20200423,实施完成,,20201014,20201104,47.8,47.8,80.0,1、基于国产芯片高端计算机研发及扩产项目；2、高端计算机IO模块研发及产业化项目；3、高端计算机内置主动管控固件研发项目,15,-0.12052445789208255,
002739.SZ,20200422,实施完成,,20200924,20201112,43.5,29.29,80.0,用于新建影院项目、补充公司流动资金及偿还借款,29,0.02224757558471202,
600699.SH,20200422,实施完成,,20201015,20201106,25.0,25.0,80.0,用于智能汽车电子产品产能扩建项目、补充流动资金,16,0.1212121212121211,
