ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
002910.SZ,20210609,11.22,52800,20210610,10.989,规则卖出,base,-13070.177999999905,873.3780000000002,-0.022056985753561447
300489.SZ,20210609,23.82,24800,20210610,23.806169999999998,规则卖出,base,-1228.6592700000535,885.6752699999998,-0.0020793589386029713
002137.SZ,20210610,6.55,92600,20210611,7.20279,规则卖出,base,59462.998557500025,985.3554425,0.09801351379712328
000034.SZ,20210610,19.56,31000,20210611,19.560419999999997,规则卖出,base,-896.5362750001112,909.5562749999999,-0.0014781849016275374
001696.SZ,20210610,7.65,79300,20210611,7.87212,规则卖出,base,16682.130855,931.9851450000001,0.027492126968257934
300371.SZ,20210611,15.19,41600,20210615,15.684299999999999,规则卖出,base,19589.320399999877,973.5595999999998,0.03099272087837139
000665.SZ,20210611,4.52,139800,20210615,4.96503,规则卖出,base,61189.58100749999,1025.6129925,0.09681068947364928
603637.SH,20210611,7.72,81800,20210615,7.73226,规则卖出,base,54.37041499996465,948.4975850000001,8.607627885769074e-05
002767.SZ,20210615,11.67,56400,20210616,11.8881,规则卖出,base,11298.181950000018,1002.65805,0.017161294509277593
002929.SZ,20210615,26.82,24500,20210616,26.963009999999997,规则卖出,base,2513.7303187498683,990.01468125,0.0038245933483070185
600968.SH,20210616,2.94,225700,20210617,2.9470500000000004,规则卖出,base,593.8590187500715,997.3259812500002,0.0008947380501814399
002935.SZ,20210616,23.19,28600,20210617,24.85512,规则卖出,base,46568.052960000045,1054.37904,0.07019606029928488
600415.SH,20210616,6.0,110600,20210617,5.934060000000001,规则卖出,base,-8279.24779499995,986.2837950000002,-0.012473144213946437
600303.SH,20210623,4.47,151300,20210624,4.52547,规则卖出,base,7367.653736250064,1024.95726375,0.010891161437828556
002600.SZ,20210623,9.11,74200,20210624,9.10089,规则卖出,base,-1689.060047500112,1013.0980474999998,-0.0024981254686330077
603380.SH,20210623,26.79,25200,20210624,27.442529999999998,规则卖出,base,15410.539304999986,1033.2166949999998,0.022821071048027445
002620.SZ,20210624,6.14,111300,20210625,6.42357,规则卖出,base,30496.81632375001,1064.52467625,0.04461515525027539
300218.SZ,20210624,12.74,53600,20210625,13.036950000000001,规则卖出,base,14872.328349999982,1044.1916500000002,0.02177389816596084
300621.SZ,20210624,10.82,63100,20210625,10.569420000000001,规则卖出,base,-16815.94650249996,1004.3485025,-0.024623860208700075
002232.SZ,20210702,12.51,55400,20210705,13.74624,规则卖出,base,67362.50537999999,1125.19062,0.09717232562363004
002357.SZ,20210705,5.52,129600,20210706,5.4945,规则卖出,base,-4373.756999999985,1068.957,-0.006112262695195746
000935.SZ,20210705,16.34,43700,20210706,17.00298,规则卖出,base,27864.92371749999,1107.3022824999998,0.039013580448217185
603159.SH,20210706,16.24,44500,20210707,17.03295,规则卖出,base,34158.147156250125,1128.12784375,0.04725412319949587
600673.SH,20210706,5.05,143200,20210707,5.10489,规则卖出,base,6765.682689999966,1094.56531,0.00935338195154177
300455.SZ,20210706,11.98,60300,20210707,11.04894,规则卖出,base,-57156.3303525,1013.4123525,-0.07910094054115854
600444.SH,20210707,11.17,64200,20210708,11.73825,规则卖出,base,35360.37693749998,1121.2730625,0.04929695843720357
002662.SZ,20210707,3.86,186000,20210708,3.7562399999999996,规则卖出,base,-20352.175800000095,1052.8157999999999,-0.02834014294353886
603917.SH,20210708,10.35,69800,20210709,10.05993,规则卖出,base,-21305.2223925001,1058.3363924999999,-0.029483683426969484
603019.SH,20210708,29.61,24400,20210709,29.1708,规则卖出,base,-11786.810400000031,1070.3304,-0.016310208162245196
002025.SZ,20210708,55.22,13000,20210709,55.16478,规则卖出,base,-1793.7526750000286,1075.892675,-0.0024981254686328815
603121.SH,20210709,11.29,63000,20210712,11.4885,规则卖出,base,11422.963125000015,1082.5368749999998,0.016055939513792965
000050.SZ,20210709,15.91,44700,20210712,16.09389,规则卖出,base,7142.842646249955,1077.04035375,0.010041181565073784
002457.SZ,20210712,9.97,71900,20210713,9.920069999999999,规则卖出,base,-4660.744041250118,1070.77704125,-0.006500139007374701
002485.SZ,20210712,4.98,144100,20210713,4.71528,规则卖出,base,-39174.89631000015,1028.74431,-0.05457653658874458
000063.SZ,20210712,34.4,20800,20210713,35.724239999999995,规则卖出,base,26436.481759999882,1107.7102399999999,0.03693799515237453
603166.SH,20210713,7.87,90400,20210714,8.30169,规则卖出,base,37908.82303000005,1115.95297,0.053270721392078994
002791.SZ,20210713,208.68,3400,20210714,212.79699,规则卖出,base,12916.00079249989,1081.7652074999999,0.018199512621844383
000159.SZ,20210714,6.83,106700,20210715,7.092899999999999,规则卖出,base,26923.224212499903,1128.2057874999998,0.03693459870757041
000800.SZ,20210714,12.06,60400,20210715,11.47851,规则卖出,base,-36170.729505000025,1048.733505,-0.04964373645394625
000506.SZ,20210714,2.46,296200,20210715,2.4975,规则卖出,base,10000.637625000032,1106.8623750000002,0.013721417206673987
002364.SZ,20210715,9.48,76900,20210716,10.41957,规则卖出,base,71069.09883374991,1183.83416625,0.0974625054179492
